factor,value,category,n,seeds,notes,train_loss_mean,train_loss_std,extraction_success_rate_mean,extraction_success_rate_std,avg_exposure_mean,avg_exposure_std,mia_auc_loss_mean,mia_auc_loss_std,mia_auc_neighbourhood_mean,mia_auc_neighbourhood_std,mia_roc_tpr_1e-3_loss_mean,mia_roc_tpr_1e-3_loss_std,mia_roc_tpr_1e-4_loss_mean,mia_roc_tpr_1e-4_loss_std,mia_roc_tpr_1e-3_neighbourhood_mean,mia_roc_tpr_1e-3_neighbourhood_std,mia_roc_tpr_1e-4_neighbourhood_mean,mia_roc_tpr_1e-4_neighbourhood_std,mia_val_tpr_1e-3_loss_mean,mia_val_tpr_1e-3_loss_std,mia_val_tpr_1e-4_loss_mean,mia_val_tpr_1e-4_loss_std,mia_val_tpr_1e-3_neighbourhood_mean,mia_val_tpr_1e-3_neighbourhood_std,mia_val_tpr_1e-4_neighbourhood_mean,mia_val_tpr_1e-4_neighbourhood_std
canary_repeats,1,ablation,1,0,主消融,2.369071763137291,0.0,0.0,0.0,1.3990369043602824,0.0,0.5091482821172917,0.0,0.5216285940843575,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary_repeats,3,ablation,1,0,主消融,2.5178924884114946,0.0,0.0,0.0,1.5619224251832555,0.0,0.5090744180489023,0.0,0.5212902314769549,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary_repeats,5,ablation,1,0,主消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dedup,false,ablation,1,0,补充消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dedup,true,ablation,1,0,补充消融,2.638227421001796,0.0,0.0,0.0,1.6642854344629334,0.0,0.5109514343750341,0.0,0.5206960602209405,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epochs,1,ablation,1,0,主消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epochs,2,ablation,1,0,主消融,2.575968613589767,0.0,0.0,0.0,2.0394260283054906,0.0,0.5263466614527321,0.0,0.5278869445259119,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epochs,3,ablation,1,0,主消融,2.5395829445544242,0.0,0.0,0.0,3.0552874165748336,0.0,0.544670381594812,0.0,0.5384277815796042,0.0,0.0,0.0,0.0,0.0,0.0031088082901554403,0.0,0.0031088082901554403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_alpha,16,ablation,1,0,补充消融,2.668791958885471,0.0,0.0,0.0,1.6054783142666451,0.0,0.5034650937965045,0.0,0.5179630896905312,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_alpha,32,ablation,1,0,补充消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_alpha,64,ablation,1,0,补充消融,2.616749213559784,0.0,0.0,0.0,1.7224385505999447,0.0,0.5230770901901997,0.0,0.5265063381888102,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_dropout,0.0,ablation,1,0,补充消融,2.637947848243435,0.0,0.0,0.0,1.6704704554435792,0.0,0.5111719403439025,0.0,0.5209143937172094,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lora_dropout,0.05,ablation,1,0,补充消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
